setting	step	option_a	option_b	metric	paired_comparisons	option_a_wins	ties	option_b_wins	option_a_win_rate	median_difference_a_minus_b	mean_difference_a_minus_b
LFQ	imputation	knn	mindet	pauc005	240	113	0	127	0.4708333333333333	-0.0018547305489247656	0.002860607605137603
LFQ	imputation	knn	mindet	pauc01	240	115	0	125	0.4791666666666667	-0.0010020799457117757	0.0034805127614514365
LFQ	imputation	knn	mindet	nmcc	240	58	59	123	0.24166666666666667	-0.0009244713749566869	-0.005018083307656359
LFQ	imputation	knn	mindet	gmean	240	52	62	126	0.21666666666666667	-0.0011427881633751247	0.009631311397057545
LFQ	imputation	knn	minprob	pauc001	240	126	0	114	0.525	0.0004935111603355802	0.004567945545636439
LFQ	imputation	knn	minprob	pauc005	240	129	0	111	0.5375	0.0016091375212725356	0.006328354508281712
LFQ	imputation	knn	minprob	pauc01	240	130	0	110	0.5416666666666666	0.001861433519587452	0.0074569390878803
LFQ	imputation	knn	minprob	nmcc	240	75	63	102	0.3125	0.0	-0.002834320967727553
LFQ	imputation	knn	minprob	gmean	240	108	64	68	0.45	0.0	0.02325342327603596
LFQ	imputation	knn	none	pauc001	240	126	4	110	0.525	1.2677251223863761e-05	-0.00832069323615041
LFQ	imputation	knn	none	pauc005	240	142	0	98	0.5916666666666667	0.0011932749490382033	0.006663592543584258
LFQ	imputation	knn	none	pauc01	240	164	0	76	0.6833333333333333	0.0030236744788261494	0.014532926860719433
LFQ	imputation	knn	none	nmcc	240	79	64	97	0.32916666666666666	0.0	-0.0025270166275494564
LFQ	imputation	knn	none	gmean	240	130	64	46	0.5416666666666666	0.003090625756224999	0.014211507667609846
LFQ	imputation	knn	qrilc	pauc001	240	156	0	84	0.65	0.002009703494787518	0.012826273601538454
LFQ	imputation	knn	qrilc	pauc005	240	157	0	83	0.6541666666666667	0.0028067129029553106	0.015656039595251605
LFQ	imputation	knn	qrilc	pauc01	240	146	0	94	0.6083333333333333	0.002417108161277326	0.015267646691456275
LFQ	imputation	knn	qrilc	nmcc	240	106	61	73	0.44166666666666665	0.0	-0.0024041924985568315
LFQ	imputation	knn	qrilc	gmean	240	133	64	43	0.5541666666666667	0.010635319853985262	0.03587610477636615
LFQ	imputation	knn	seqknn	pauc001	240	102	5	133	0.425	-7.036840289798008e-05	-0.002130952077789441
